index,x,y,source
200,-121.4552745,38.6122603,crossing_node
201,-121.4556438,38.6125159,crossing_node
202,-121.4523558,38.6142825,crossing_node
203,-121.4515115,38.6097324,crossing_node
204,-121.4515785,38.6098227,crossing_node
205,-121.3827622,38.5635452,crossing_node
206,-121.5275699,38.6376589,crossing_node
207,-121.425648,38.5685644,crossing_node
208,-121.525667,38.6128356,crossing_node
209,-121.4884591,38.5519525,crossing_node
210,-121.471965,38.5493582,crossing_node
211,-121.4644912,38.547113,crossing_node
212,-121.4220978,38.5565039,crossing_node
213,-121.4222849,38.5566313,crossing_node
214,-121.5107105,38.6679381,crossing_node
215,-121.5123347,38.6701086,crossing_node
216,-121.4843415,38.6245878,crossing_node
217,-121.4479702,38.6267691,crossing_node
218,-121.5049011,38.4814545,crossing_node
219,-121.4571511,38.6548749,crossing_node
220,-121.4571534,38.6549952,crossing_node
221,-121.47193,38.6551865,crossing_node
222,-121.4662987,38.6553032,crossing_node
223,-121.512409,38.6559486,crossing_node
224,-121.5086442,38.6562649,crossing_node
225,-121.5023942,38.5837205,crossing_node
226,-121.5029269,38.582889,crossing_node
227,-121.5048647,38.6128755,crossing_node
228,-121.5069682,38.5800571,crossing_node
229,-121.5008765,38.583503,crossing_node
230,-121.500825,38.5836259,crossing_node
231,-121.5006791,38.5839759,crossing_node
232,-121.500733,38.5838372,crossing_node
233,-121.4349444,38.5952653,crossing_node
234,-121.503166,38.5408327,crossing_node
235,-121.4920773,38.5408532,crossing_node
236,-121.4309412,38.4417747,crossing_node
237,-121.52497,38.6664529,crossing_node
238,-121.5239897,38.6665362,crossing_node
239,-121.5251251,38.672087,crossing_node
240,-121.524697,38.6723083,crossing_node
241,-121.5294604,38.6743596,crossing_node
242,-121.532023,38.6778594,crossing_node
243,-121.503009,38.6819728,crossing_node
244,-121.5140293,38.6658548,crossing_node
245,-121.51578,38.6663047,crossing_node
246,-121.525374,38.6663203,crossing_node
247,-121.5066716,38.6559253,crossing_node
248,-121.5066482,38.6560792,crossing_node
249,-121.5122235,38.6584357,crossing_node
250,-121.5122242,38.6587487,crossing_node
251,-121.5067043,38.6595517,crossing_node
252,-121.5114002,38.6615409,crossing_node
253,-121.5109763,38.6614649,crossing_node
254,-121.5111907,38.6617731,crossing_node
255,-121.5094421,38.6635666,crossing_node
256,-121.5081221,38.6652503,crossing_node
